,App,Category,Rating,Reviews,Size_1,Installs_1,Type,Price,Content_Rating,Genres,Last_Updated,Current Ver,Installs,Size,size_kb
2156,Chess Free,FAMILY,4.3,23772,17M,"5,000,000+",Free,0,Everyone,Board;Brain Games,02-08-2017,1,5000000,17,FALSE
2157,Tic Tac Toe,FAMILY,4.1,6007,18M,"1,000,000+",Free,0,Everyone,Board;Action & Adventure,03-07-2017,1,1000000,18,FALSE
2158,Dominos Game ✔️,FAMILY,4.1,2903,16M,"1,000,000+",Free,0,Everyone,Board;Brain Games,05-07-2018,5,1000000,16,FALSE
2159,Checkers ✔️,FAMILY,4.1,3617,19M,"1,000,000+",Free,0,Everyone,Board;Brain Games,24-07-2018,4,1000000,19,FALSE
2160,Crazy Colors: Bubbles Matching,FAMILY,4.6,3063,1.6M,"100,000+",Free,0,Everyone,Board;Brain Games,24-05-2018,2,100000,1.6,FALSE
2161,Chess for Kids - Play & Learn,FAMILY,4.1,3234,47M,"100,000+",Free,0,Everyone,Puzzle;Brain Games,15-05-2018,2,100000,47,FALSE
2162,Block Puzzle : Night in Egypt,FAMILY,4.4,276,16M,"50,000+",Free,0,Everyone,Puzzle;Brain Games,12-09-2017,1,50000,16,FALSE
2163,Mosaic puzzles,FAMILY,4.4,1595,14M,"500,000+",Free,0,Everyone,Puzzle;Brain Games,04-07-2018,2,500000,14,FALSE
2165,RISK: Global Domination,FAMILY,4,68559,75M,"5,000,000+",Free,0,Everyone,Board;Action & Adventure,31-07-2018,1,5000000,75,FALSE
2166,Pino chess,FAMILY,4.8,61,25M,"1,000+",Free,0,Everyone,Casual;Brain Games,26-01-2017,0,1000,25,FALSE
2167,Chess PRO Free,FAMILY,3.8,1123,5.7M,"100,000+",Free,0,Everyone,Board;Brain Games,08-09-2016,4,100000,5.7,FALSE
2169,All-in-One Mahjong 3 FREE,FAMILY,4.5,566,17M,"50,000+",Free,0,Everyone,Board;Brain Games,13-06-2018,20180609,50000,17,FALSE
2170,Hactar Go,FAMILY,4.8,97,3.5M,"1,000+",Paid,2.99,Everyone,Board;Brain Games,30-03-2018,2,1000,3.5,FALSE
2171,All-in-One Mahjong 3,FAMILY,4.4,38,16M,100+,Paid,0.99,Everyone,Board;Brain Games,14-06-2018,20180609,100,16,FALSE
2172,World Racers family board game,FAMILY,4.8,4,42M,100+,Paid,0.99,Everyone,Board;Pretend Play,03-09-2015,1,100,42,FALSE
2173,SweetLand — Family Board Game,FAMILY,4.2,38,47M,"1,000+",Paid,0.99,Everyone,Casual;Pretend Play,14-11-2014,1,1000,47,FALSE
2174,Steam: Rails to Riches,FAMILY,4.2,214,67M,"5,000+",Paid,4.99,Everyone,Board;Brain Games,13-12-2017,3,5000,67,FALSE
2175,Whoowasit? - Best kids game!,FAMILY,4,248,26M,"5,000+",Paid,2.99,Everyone,Board;Action & Adventure,24-07-2018,1,5000,26,FALSE
2176,Lanterns: The Harvest Festival,FAMILY,4.7,185,72M,"1,000+",Paid,4.99,Everyone,Board;Brain Games,01-05-2018,1,1000,72,FALSE
2177,Tsuro - The Game of the Path,FAMILY,4.7,2195,37M,"10,000+",Paid,2.99,Everyone,Board;Brain Games,02-08-2016,1,10000,37,FALSE
2178,THE aMAZEing Labyrinth,FAMILY,3.9,1615,1.2M,"10,000+",Paid,4.99,Everyone,Board;Brain Games,09-02-2016,1,10000,1.2,FALSE
2179,Chess and Mate,FAMILY,4.5,359,17M,"5,000+",Paid,4.99,Everyone,Board;Brain Games,12-08-2015,2,5000,17,FALSE
2180,Kids Balloon Pop Game Free 🎈,FAMILY,4.1,38021,19M,"10,000,000+",Free,0,Everyone,Casual;Music & Video,06-07-2018,18,10000000,19,FALSE
2181,Sounds for Toddlers FREE,FAMILY,4.4,6190,23M,"1,000,000+",Free,0,Everyone,Educational;Education,24-08-2015,1,1000000,23,FALSE
2182,Elmo Calls by Sesame Street,FAMILY,3.9,6903,25M,"1,000,000+",Free,0,Everyone,Educational;Pretend Play,31-01-2018,2,1000000,25,FALSE
2183,Sago Mini Friends,FAMILY,4.4,13155,83M,"1,000,000+",Free,0,Everyone,Education;Pretend Play,16-06-2016,1,1000000,83,FALSE
2184,Papumba Academy - Fun Learning For Kids,FAMILY,4.4,496,94M,"100,000+",Free,0,Everyone,Education;Education,11-07-2018,1,100000,94,FALSE
2185,Tee and Mo Bath Time Free,FAMILY,3.6,418,97M,"100,000+",Free,0,Everyone,Educational;Education,07-11-2016,1,100000,97,FALSE
2186,Bita and the Animals - Pelos Ares,FAMILY,4.4,1160,37M,"100,000+",Free,0,Everyone,Education;Music & Video,22-05-2013,1,100000,37,FALSE
2187,TO-FU Oh!SUSHI,FAMILY,4.1,59917,92M,"5,000,000+",Free,0,Everyone,Education;Pretend Play,31-07-2018,2,5000000,92,FALSE
2188,DreamWorks Friends,FAMILY,3.6,1042,48M,"100,000+",Free,0,Everyone,Role Playing;Pretend Play,04-08-2017,2,100000,48,FALSE
2189,Avokiddo Emotions,FAMILY,4.6,73,12M,"1,000+",Paid,2.99,Everyone,Education;Pretend Play,21-05-2018,1,1000,12,FALSE
2190,Nighty Night Circus,FAMILY,4.3,382,15M,"10,000+",Paid,2.99,Everyone,Education;Action & Adventure,07-03-2017,2,10000,15,FALSE
2191,Sago Mini Babies,FAMILY,4.5,253,83M,"10,000+",Paid,3.99,Everyone,Education;Pretend Play,28-10-2016,1,10000,83,FALSE
2192,Dr. Panda & Toto's Treehouse,FAMILY,4.4,3396,9.5M,"50,000+",Paid,3.99,Everyone,Casual;Pretend Play,09-12-2014,1,50000,9.5,FALSE
2193,Kids Balloon Pop Game Free 🎈,FAMILY,4.1,38021,19M,"10,000,000+",Free,0,Everyone,Casual;Music & Video,06-07-2018,18,10000000,19,FALSE
2194,Sounds for Toddlers FREE,FAMILY,4.4,6190,23M,"1,000,000+",Free,0,Everyone,Educational;Education,24-08-2015,1,1000000,23,FALSE
2195,Elmo Calls by Sesame Street,FAMILY,3.9,6903,25M,"1,000,000+",Free,0,Everyone,Educational;Pretend Play,31-01-2018,2,1000000,25,FALSE
2196,Sago Mini Friends,FAMILY,4.4,13155,83M,"1,000,000+",Free,0,Everyone,Education;Pretend Play,16-06-2016,1,1000000,83,FALSE
2197,Papumba Academy - Fun Learning For Kids,FAMILY,4.4,496,94M,"100,000+",Free,0,Everyone,Education;Education,11-07-2018,1,100000,94,FALSE
2198,Tee and Mo Bath Time Free,FAMILY,3.6,418,97M,"100,000+",Free,0,Everyone,Educational;Education,07-11-2016,1,100000,97,FALSE
2199,Bita and the Animals - Pelos Ares,FAMILY,4.4,1160,37M,"100,000+",Free,0,Everyone,Education;Music & Video,22-05-2013,1,100000,37,FALSE
2200,TO-FU Oh!SUSHI,FAMILY,4.1,59917,92M,"5,000,000+",Free,0,Everyone,Education;Pretend Play,31-07-2018,2,5000000,92,FALSE
2201,DreamWorks Friends,FAMILY,3.6,1042,48M,"100,000+",Free,0,Everyone,Role Playing;Pretend Play,04-08-2017,2,100000,48,FALSE
2202,Avokiddo Emotions,FAMILY,4.6,73,12M,"1,000+",Paid,2.99,Everyone,Education;Pretend Play,21-05-2018,1,1000,12,FALSE
2203,Nighty Night Circus,FAMILY,4.3,382,15M,"10,000+",Paid,2.99,Everyone,Education;Action & Adventure,07-03-2017,2,10000,15,FALSE
2204,Sago Mini Babies,FAMILY,4.5,253,83M,"10,000+",Paid,3.99,Everyone,Education;Pretend Play,28-10-2016,1,10000,83,FALSE
2205,Dr. Panda & Toto's Treehouse,FAMILY,4.4,3396,9.5M,"50,000+",Paid,3.99,Everyone,Casual;Pretend Play,09-12-2014,1,50000,9.5,FALSE
2206,ROBLOX,FAMILY,4.5,4450890,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,31-07-2018,2,100000000,67,FALSE
2210,Barbie Life™,FAMILY,3.9,133117,63M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,12-07-2018,2,5000000,63,FALSE
2211,Baby Panda Care,FAMILY,4.2,108795,49M,"10,000,000+",Free,0,Everyone,Educational;Pretend Play,15-06-2018,8,10000000,49,FALSE
2212,Palace Pets in Whisker Haven,FAMILY,4.1,47213,14M,"5,000,000+",Free,0,Everyone,Entertainment;Pretend Play,09-12-2017,1,5000000,14,FALSE
2213,Sweet Baby Girl - Dream House and Play Time,FAMILY,3.9,95537,58M,"10,000,000+",Free,0,Everyone,Educational;Education,13-07-2018,2,10000000,58,FALSE
2214,Monster High™,FAMILY,4.1,66660,22M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,02-02-2018,5,5000000,22,FALSE
2215,Hello Kitty Lunchbox,FAMILY,4.2,51838,15M,"5,000,000+",Free,0,Everyone,Casual;Creativity,21-11-2017,1,5000000,15,FALSE
2217,Sweet Baby Girl Newborn Baby,FAMILY,3.8,36028,50M,"5,000,000+",Free,0,Everyone,Educational;Education,02-07-2018,1,5000000,50,FALSE
2218,COOKING MAMA Let's Cook!,FAMILY,4.3,528745,59M,"10,000,000+",Free,0,Everyone,Educational;Pretend Play,26-07-2018,1,10000000,59,FALSE
2219,Shopkins World!,FAMILY,4.3,169609,34M,"10,000,000+",Free,0,Everyone,Arcade;Action & Adventure,13-06-2018,3,10000000,34,FALSE
2221,Ever After High™ Charmed Style,FAMILY,3.9,44062,54M,"1,000,000+",Free,0,Everyone,Casual;Pretend Play,30-12-2016,1,1000000,54,FALSE
2222,Equestria Girls,FAMILY,4.3,392596,53M,"10,000,000+",Free,0,Everyone,Role Playing;Action & Adventure,22-07-2016,37893,10000000,53,FALSE
2225,Frozen Free Fall,FAMILY,4.3,1574204,37M,"50,000,000+",Free,0,Everyone,Puzzle;Action & Adventure,27-07-2018,6,50000000,37,FALSE
2226,Nick,FAMILY,4.2,123322,25M,"10,000,000+",Free,0,Everyone 10+,Entertainment;Music & Video,24-01-2018,2,10000000,25,FALSE
2227,Thomas & Friends: Race On!,FAMILY,4.1,29319,26M,"5,000,000+",Free,0,Everyone,Casual;Action & Adventure,18-05-2018,2,5000000,26,FALSE
2228,Mad Libs,FAMILY,4,8126,61M,"1,000,000+",Free,0,Everyone,Entertainment;Brain Games,31-07-2018,1,1000000,61,FALSE
2229,Inside Out Thought Bubbles,FAMILY,4.4,623398,58M,"10,000,000+",Free,0,Everyone,Puzzle;Brain Games,31-08-2017,1,10000000,58,FALSE
2230,ABCmouse.com,FAMILY,4.3,50887,91M,"5,000,000+",Free,0,Everyone,Education;Education,03-07-2018,7,5000000,91,FALSE
2231,My Little Pony Celebration,FAMILY,4.3,63160,17M,"1,000,000+",Free,0,Everyone,Simulation;Pretend Play,22-07-2016,1,1000000,17,FALSE
2232,Sago Mini Friends,FAMILY,4.4,13155,83M,"1,000,000+",Free,0,Everyone,Education;Pretend Play,16-06-2016,1,1000000,83,FALSE
2233,Thomas & Friends: Delivery,FAMILY,4.2,28737,17M,"1,000,000+",Free,0,Everyone,Casual;Action & Adventure,05-02-2016,1,1000000,17,FALSE
2235,Nasty Goats,FAMILY,4.3,45579,64M,"1,000,000+",Free,0,Everyone,Arcade;Action & Adventure,14-04-2016,1,1000000,64,FALSE
2236,Starfall Free & Member,FAMILY,4.2,19720,41M,"1,000,000+",Free,0,Everyone,Education;Education,07-11-2017,1,1000000,41,FALSE
2237,Animal Jam - Play Wild!,FAMILY,4.6,361970,58M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,02-08-2018,28,5000000,58,FALSE
2238,Video Editor,FAMILY,4.1,159619,23M,"5,000,000+",Free,0,Everyone,Video Players & Editors;Creativity,17-07-2018,6,5000000,23,FALSE
2239,Real Racing 3,FAMILY,4.5,354384,71M,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,02-07-2018,6,10000000,71,FALSE
2242,Card Wars - Adventure Time,FAMILY,4.3,129603,23M,"1,000,000+",Paid,2.99,Everyone 10+,Card;Action & Adventure,11-02-2016,1,1000000,23,FALSE
2243,Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135,12M,"100,000+",Paid,9,Everyone,Medical,16-07-2018,2,100000,12,FALSE
2244,iBP Blood Pressure,MEDICAL,4.4,578,704k,"10,000+",Paid,0.99,Everyone,Medical,30-11-2014,7,10000,0.704,TRUE
2245,Pedi STAT,MEDICAL,4.6,129,2.9M,"10,000+",Paid,5.49,Everyone,Medical,06-04-2018,3,10000,2.9,FALSE
2246,ASCCP Mobile,MEDICAL,4.5,63,25M,"10,000+",Paid,9.99,Everyone,Medical,03-10-2016,2,10000,25,FALSE
2248,Paramedic Protocol Provider,MEDICAL,4.5,171,20M,"10,000+",Paid,10,Everyone 10+,Medical,21-09-2017,1,10000,20,FALSE
2249,MommyMeds,MEDICAL,3.2,45,21M,"5,000+",Paid,3.99,Everyone,Medical,15-11-2017,2,5000,21,FALSE
2250,Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717,5.4M,"5,000+",Paid,5.99,Everyone,Medical,31-05-2018,6,5000,5.4,FALSE
2251,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2921,25M,"100,000+",Paid,24.99,Everyone,Medical,25-05-2018,2018,100000,25,FALSE
2252,Essential Anatomy 3,MEDICAL,4.1,1533,42M,"50,000+",Paid,11.99,Mature 17+,Medical,07-08-2014,1,50000,42,FALSE
2253,Vargo Anesthesia Mega App,MEDICAL,4.6,92,32M,"1,000+",Paid,79.99,Everyone,Medical,18-06-2018,19,1000,32,FALSE
2254,EMT Review Plus,MEDICAL,4.5,199,1.8M,"10,000+",Paid,11.99,Everyone,Medical,27-06-2018,3,10000,1.8,FALSE
2255,Muscle Trigger Point Anatomy,MEDICAL,4.4,1361,33M,"50,000+",Paid,2.99,Everyone,Medical,17-07-2018,2,50000,33,FALSE
2256,2017 EMRA Antibiotic Guide,MEDICAL,4.4,12,3.8M,"1,000+",Paid,16.99,Everyone,Medical,27-01-2017,1,1000,3.8,FALSE
2257,ASRA Coags,MEDICAL,4.4,15,5.8M,"1,000+",Paid,3.99,Everyone,Medical,01-08-2018,2,1000,5.8,FALSE
2258,IBM Micromedex Drug Info,MEDICAL,3.8,206,9.5M,"10,000+",Paid,2.99,Everyone,Medical,25-04-2018,1,10000,9.5,FALSE
2259,Diabetes & Diet Tracker,MEDICAL,4.6,395,19M,"1,000+",Paid,9.99,Everyone,Medical,16-07-2018,6,1000,19,FALSE
2261,Block Buddy,MEDICAL,4,15,5.0M,"1,000+",Paid,14.99,Everyone,Medical,01-08-2018,7,1000,5,FALSE
2262,Super Hearing Secret Voices Recorder PRO,MEDICAL,5,3,23M,100+,Paid,2.99,Everyone,Medical,20-04-2018,1,100,23,FALSE
2263,EMT Study - NREMT Test Prep,MEDICAL,4.3,35,862k,"5,000+",Paid,3.99,Everyone,Medical,03-12-2014,1,5000,0.862,TRUE
2264,Calcium Pro,MEDICAL,3.4,77,9.9M,"5,000+",Paid,2.99,Everyone,Medical,18-04-2017,1,5000,9.9,FALSE
2266,EMT PASS,MEDICAL,3.4,51,2.4M,"1,000+",Paid,29.99,Everyone,Medical,22-10-2014,2,1000,2.4,FALSE
2267,Pocket Lab Values,MEDICAL,4.3,214,899k,"10,000+",Paid,2.99,Everyone,Medical,22-11-2012,2,10000,0.899,TRUE
2268,Medical terms (OFFLINE),MEDICAL,4.4,104,38M,"1,000+",Paid,2.99,Teen,Medical,24-05-2018,3,1000,38,FALSE
2269,"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8,6.5M,100+,Paid,12.99,Everyone,Medical,25-07-2018,7,100,6.5,FALSE
2270,ERres- Emergency Medicine,MEDICAL,4.2,45,14M,"1,000+",Paid,4.99,Everyone,Medical,18-08-2015,6,1000,14,FALSE
2271,FHR 5-Tier 2.0,MEDICAL,5,2,1.2M,500+,Paid,2.99,Everyone,Medical,16-12-2015,1,500,1.2,FALSE
2272,AnatomyMapp,MEDICAL,4.1,80,48M,"5,000+",Paid,14.99,Everyone,Medical,05-11-2013,1,5000,48,FALSE
2273,OptoDrum,MEDICAL,3.9,10,378k,"1,000+",Paid,5.99,Everyone,Medical,26-05-2015,1,1000,0.378,TRUE
2274,"Migraine, Headache Diary HeadApp Pro",MEDICAL,4.6,156,22M,500+,Paid,3.49,Everyone,Medical,14-03-2018,1,500,22,FALSE
2275,Blood Pressure Companion,MEDICAL,4.2,178,4.8M,"1,000+",Paid,0.99,Everyone,Medical,22-07-2018,4,1000,4.8,FALSE
2277,"Muscle Premium - Human Anatomy, Kinesiology, Bones",MEDICAL,4.2,168,25M,"10,000+",Paid,24.99,Everyone,Medical,11-08-2017,7,10000,25,FALSE
2278,CCHT PREP,MEDICAL,3.6,25,266k,"1,000+",Paid,10.99,Everyone,Medical,08-12-2016,1,1000,0.266,TRUE
2279,Paramedic Meds,MEDICAL,4.5,163,375k,"10,000+",Paid,1.99,Everyone,Medical,03-08-2015,3,10000,0.375,TRUE
2281,OmniMedix Medical Calculator,MEDICAL,4.7,25,1.2M,"1,000+",Paid,4.99,Everyone,Medical,11-06-2016,3,1000,1.2,FALSE
2283,Lab Values + Medical Reference,MEDICAL,4.5,133,2.8M,"10,000+",Paid,2.99,Everyone,Medical,02-08-2014,3,10000,2.8,FALSE
2284,Recognise Foot,MEDICAL,4.2,9,95M,"1,000+",Paid,7.49,Everyone,Medical,14-09-2017,1,1000,95,FALSE
2285,Anti Mosquito simulation,MEDICAL,4.2,74,2.6M,"1,000+",Paid,1.5,Everyone,Medical,06-09-2014,1,1000,2.6,FALSE
2286,Pain Tracker & Diary,MEDICAL,4.3,3,4.6M,100+,Paid,2.99,Everyone,Medical,02-01-2018,1,100,4.6,FALSE
2288,Whist - Tinnitus Relief,MEDICAL,4.1,12,5.1M,"1,000+",Paid,1.99,Everyone,Medical,02-03-2017,1,1000,5.1,FALSE
2289,Critical Care Paramedic Review,MEDICAL,4.4,17,1.8M,"1,000+",Paid,9.99,Everyone 10+,Medical,14-05-2018,2,1000,1.8,FALSE
2292,"End Anxiety Pro - Stress, Panic Attack Help",MEDICAL,4.2,33,53M,"1,000+",Paid,3.99,Everyone,Medical,08-05-2018,2,1000,53,FALSE
2293,Acupuncture Assistant,MEDICAL,4.5,492,39M,"10,000+",Paid,7.99,Everyone,Medical,13-04-2018,4,10000,39,FALSE
2295,InfantRisk Center HCP,MEDICAL,2.6,41,14M,"1,000+",Paid,9.99,Everyone,Medical,06-05-2015,1,1000,14,FALSE
2296,EMT Tutor NREMT-B Study Guide,MEDICAL,4.6,625,8.4M,"10,000+",Paid,3.99,Everyone,Medical,08-01-2017,2,10000,8.4,FALSE
2297,Hospitalist Handbook,MEDICAL,4.8,12,18M,"1,000+",Paid,19.99,Everyone,Medical,05-06-2017,6,1000,18,FALSE
2298,PTA Content Master,MEDICAL,4.2,64,41M,"1,000+",Paid,29.99,Everyone,Medical,22-12-2015,2,1000,41,FALSE
2299,Navi Radiography Pro,MEDICAL,4.7,11,100M,500+,Paid,15.99,Everyone,Medical,14-01-2018,1,500,100,FALSE
2300,Nursing Care Plan NANDA Tables,MEDICAL,3,4,3.4M,500+,Paid,0.99,Everyone,Medical,09-05-2017,1,500,3.4,FALSE
2301,A Manual of Acupuncture,MEDICAL,3.5,214,68M,"1,000+",Paid,33.99,Everyone,Medical,02-10-2017,2,1000,68,FALSE
2302,palmPEDi: Pediatric Tape,MEDICAL,4.6,66,2.6M,"5,000+",Paid,0.99,Everyone,Medical,02-12-2013,4,5000,2.6,FALSE
2303,GoodRx Drug Prices and Coupons,MEDICAL,4.8,59158,11M,"1,000,000+",Free,0,Everyone,Medical,26-07-2018,5,1000000,11,FALSE
2305,FollowMyHealth®,MEDICAL,4.6,73118,37M,"1,000,000+",Free,0,Everyone,Medical,10-05-2018,3,1000000,37,FALSE
2307,Ovia Pregnancy Tracker & Baby Countdown Calendar,MEDICAL,4.8,102858,9.8M,"1,000,000+",Free,0,Everyone,Medical,03-08-2018,2,1000000,9.8,FALSE
2308,Teladoc Member,MEDICAL,4,2094,23M,"500,000+",Free,0,Everyone,Medical,26-07-2018,3,500000,23,FALSE
2309,myAir™ for Air10™ by ResMed,MEDICAL,3.7,236,18M,"50,000+",Free,0,Everyone,Medical,25-07-2018,1,50000,18,FALSE
2310,Blood Pressure,MEDICAL,4.2,33033,7.4M,"5,000,000+",Free,0,Everyone,Medical,24-07-2018,3,5000000,7.4,FALSE
2311,Pregnancy Week By Week,MEDICAL,4.8,78825,11M,"1,000,000+",Free,0,Everyone,Medical,02-08-2018,1,1000000,11,FALSE
2313,BioLife Plasma Services,MEDICAL,3.5,250,23M,"100,000+",Free,0,Everyone,Medical,09-07-2018,1,100000,23,FALSE
2314,OneTouch Reveal,MEDICAL,3.9,6266,34M,"500,000+",Free,0,Everyone,Medical,22-05-2018,3,500000,34,FALSE
2317,Anthem Anywhere,MEDICAL,2.7,2657,24M,"500,000+",Free,0,Everyone,Medical,27-07-2018,8,500000,24,FALSE
2318,Blood Donor,MEDICAL,4.2,4476,20M,"500,000+",Free,0,Everyone,Medical,31-07-2018,1,500000,20,FALSE
2319,My Calendar - Period Tracker,MEDICAL,4.7,156410,14M,"5,000,000+",Free,0,Everyone,Medical,03-08-2018,5,5000000,14,FALSE
2320,Youper - AI Therapy,MEDICAL,4.6,2006,69M,"50,000+",Free,0,Everyone,Medical,03-08-2018,6,50000,69,FALSE
2321,Zocdoc: Find Doctors & Book Appointments,MEDICAL,4.5,6099,38M,"500,000+",Free,0,Everyone,Medical,31-07-2018,3,500000,38,FALSE
2322,1800 Contacts - Lens Store,MEDICAL,4.7,23160,26M,"1,000,000+",Free,0,Everyone,Medical,27-07-2018,7,1000000,26,FALSE
2323,Blood Pressure Log - MyDiary,MEDICAL,4.7,8348,2.6M,"500,000+",Free,0,Everyone,Medical,13-04-2018,1,500000,2.6,FALSE
2324,PulsePoint Respond,MEDICAL,4.5,7837,21M,"100,000+",Free,0,Everyone,Medical,31-07-2018,2,100000,21,FALSE
2325,Ovia Parenting & Baby Development Tracker,MEDICAL,4.7,6185,38M,"100,000+",Free,0,Everyone,Medical,03-08-2018,1,100000,38,FALSE
2326,MyQuest for Patients,MEDICAL,4,3803,16M,"100,000+",Free,0,Everyone,Medical,13-03-2018,2,100000,16,FALSE
2327,OptumRx,MEDICAL,3.4,1838,21M,"100,000+",Free,0,Everyone,Medical,02-07-2018,2,100000,21,FALSE
2328,CVS Caremark,MEDICAL,3.5,3707,10M,"500,000+",Free,0,Everyone,Medical,28-07-2018,4,500000,10,FALSE
2329,fred's Pharmacy,MEDICAL,3,315,22M,"100,000+",Free,0,Everyone,Medical,10-10-2017,1,100000,22,FALSE
2330,Ada - Your Health Guide,MEDICAL,4.7,87418,14M,"1,000,000+",Free,0,Everyone,Medical,16-07-2018,2,1000000,14,FALSE
2331,mySugr: the blood sugar tracker made just for you,MEDICAL,4.6,21189,36M,"1,000,000+",Free,0,Everyone,Medical,06-08-2018,3,1000000,36,FALSE
2332,ClearCareGo Caregiver,MEDICAL,4.2,1746,16M,"50,000+",Free,0,Everyone,Medical,25-07-2018,2,50000,16,FALSE
2333,Pregnancy Calculator and Tracker app,MEDICAL,4.8,69126,61M,"1,000,000+",Free,0,Everyone,Medical,01-06-2018,2,1000000,61,FALSE
2334,All Mental disorders,MEDICAL,4.5,453,11M,"100,000+",Free,0,Everyone,Medical,07-07-2017,1,100000,11,FALSE
2335,DreamMapper,MEDICAL,4.2,10710,8.5M,"100,000+",Free,0,Everyone,Medical,03-07-2018,2,100000,8.5,FALSE
2336,ScriptSave WellRx Rx Discounts,MEDICAL,3.8,700,37M,"100,000+",Free,0,Everyone,Medical,21-06-2018,3,100000,37,FALSE
2339,MoodSpace,MEDICAL,4.5,503,22M,"50,000+",Free,0,Everyone,Medical,10-06-2018,3,50000,22,FALSE
2340,Pill Identifier and Drug list,MEDICAL,4,488,17M,"100,000+",Free,0,Everyone,Medical,01-08-2018,3,100000,17,FALSE
2341,HealtheLife,MEDICAL,3.6,190,7.7M,"100,000+",Free,0,Everyone,Medical,02-01-2018,2,100000,7.7,FALSE
2342,SonicCloud: Hearing App,MEDICAL,4.4,15,39M,"1,000+",Free,0,Everyone,Medical,19-07-2018,1,1000,39,FALSE
2343,Migraine Buddy - The Migraine and Headache tracker,MEDICAL,4.7,26862,30M,"500,000+",Free,0,Everyone,Medical,25-06-2018,25,500000,30,FALSE
2344,Period Tracker,MEDICAL,4.9,100082,3.7M,"1,000,000+",Free,0,Everyone,Medical,09-07-2018,1,1000000,3.7,FALSE
2345,LabCorp | Patient,MEDICAL,3.6,27,28M,"10,000+",Free,0,Everyone,Medical,19-04-2018,1,10000,28,FALSE
2346,Anatomy Learning - 3D Atlas,MEDICAL,4.5,72167,16M,"1,000,000+",Free,0,Everyone,Medical,18-07-2018,2,1000000,16,FALSE
2347,Super Hearing Super Ear Amplifier,MEDICAL,4.1,21,20M,"1,000+",Free,0,Everyone,Medical,11-06-2018,1,1000,20,FALSE
2348,Moodpath - Depression & Anxiety Test,MEDICAL,4.6,6035,8.9M,"100,000+",Free,0,Everyone,Medical,05-07-2018,1,100000,8.9,FALSE
2349,Teach Me Anatomy,MEDICAL,4.7,9945,97M,"500,000+",Free,0,Everyone,Medical,05-07-2018,5,500000,97,FALSE
2350,Baritastic - Bariatric Tracker,MEDICAL,4.7,4318,12M,"100,000+",Free,0,Everyone,Medical,26-07-2018,1,100000,12,FALSE
2351,Brilliant Distinctions®,MEDICAL,2.8,78,72M,"50,000+",Free,0,Everyone,Medical,27-06-2018,2,50000,72,FALSE
2353,98point6,MEDICAL,4.6,47,21M,"10,000+",Free,0,Everyone,Medical,02-08-2018,1,10000,21,FALSE
2355,MDLIVE: Talk to a Doctor 24/7,MEDICAL,3.4,650,27M,"100,000+",Free,0,Everyone,Medical,23-07-2018,4,100000,27,FALSE
2357,Super Ear,MEDICAL,4,3498,6.6M,"100,000+",Free,0,Everyone,Medical,01-05-2018,1,100000,6.6,FALSE
2358,VitusVet: Pet Health Care App,MEDICAL,4.8,3052,12M,"100,000+",Free,0,Everyone,Medical,31-07-2018,3,100000,12,FALSE
2359,Banfield Pet Health Tracker,MEDICAL,4.2,1747,5.9M,"100,000+",Free,0,Everyone,Medical,17-10-2016,1,100000,5.9,FALSE
2360,Dexcom G6,MEDICAL,3,45,20M,"5,000+",Free,0,Everyone,Medical,16-07-2018,1,5000,20,FALSE
2361,Nurse Grid,MEDICAL,4.5,1686,15M,"100,000+",Free,0,Everyone,Medical,30-07-2018,2,100000,15,FALSE
2362,Castlight Mobile,MEDICAL,3.7,529,26M,"100,000+",Free,0,Everyone,Medical,30-07-2018,4,100000,26,FALSE
2363,Sanford Guide:Antimicrobial Rx,MEDICAL,4.5,1388,3.3M,"100,000+",Free,0,Everyone,Medical,03-07-2018,2,100000,3.3,FALSE
2364,Davis's Drug Guide for Nurses,MEDICAL,4.5,572,44M,"50,000+",Free,0,Everyone,Medical,13-07-2018,4,50000,44,FALSE
2365,Vargo Anesthesia Mega App,MEDICAL,4.6,92,32M,"1,000+",Paid,79.99,Everyone,Medical,18-06-2018,19,1000,32,FALSE
2366,Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135,12M,"100,000+",Paid,9,Everyone,Medical,16-07-2018,2,100000,12,FALSE
2367,mySugr: the blood sugar tracker made just for you,MEDICAL,4.6,21189,36M,"1,000,000+",Free,0,Everyone,Medical,06-08-2018,3,1000000,36,FALSE
2368,live Point,MEDICAL,3.6,54,17M,"5,000+",Free,0,Mature 17+,Medical,03-07-2018,2,5000,17,FALSE
2369,Tarascon Pharmacopoeia,MEDICAL,4.4,275,5.8M,"10,000+",Free,0,Everyone 10+,Medical,16-03-2018,3,10000,5.8,FALSE
